"","Description","County Name","State","% Solar Panel Installed","Median KW Potential","% w/ Health Insurance","Property Crime Rate","Net Migration Rate","% w/ Bachelor's Degree","Population Density","% Children w/ Single Parent","% Population Age 45-64","% Female","% White","Entrepeneurship Score","Income per Capita","Belief in Science Score","Risk Taking Score","Religiosity Score","Income Mobility Score","Employment Rate","In Texas","PC1","PC2","PC3","PC4","PC5","PC6"
"39","Henderson County, TX","Henderson County","TX",0.0335626783017285,13.25,80.00587463,24.8861336,0.4753,10.72894096,90.22956085,0.311496027,26.8489309498773,51.0327906498906,89.8086708485925,11.84701493,23605,69.44444445,89.17748917,70,0.130012498,95.3,TRUE,-1.08166837242857,0.703805476775045,0.499761634164457,0.953234975042638,-0.00929291682243607,0.021180116458666
"40","Hidalgo County, TX","Hidalgo County","TX",0,13.25,67.07467651,33.65336624,0.01181,11.75612831,513.3668823,0.347070201,19.509569970082,50.9592992804248,96.9750445201892,13.2173913,15240,66.54180307,72.12058145,77.54856457,-0.052515096,92.2,TRUE,-1.52752131646294,-0.735372596606994,1.37319098240225,0.467581645704567,-0.995687458873529,1.46529115598156
"41","Humboldt County, CA","Humboldt County","CA",0.811965811965812,11.5,85.63835907,35.43012782,0.59462,18.46929169,37.80167389,0.39699034,23.6186724501689,50.3968780890836,83.2337449652547,9.736180905,24038,67.32339375,71.09405569,66.35673826,-0.200196378,95.1,FALSE,-0.228442936159928,-0.770295433899269,-0.933863723482253,-0.488047310931704,-0.475867797999182,-0.364659003191498
"42","Imperial County, CA","Imperial County","CA",0,12.25,85.18560028,32.36121097,-0.91552,9.428425789,42.3850174,0.338877947,21.1207681483321,48.7470683994151,90.1934166597688,12.00194363,16311,65.74498214,71.80185408,77.84356729,-0.119356984,76.5,FALSE,-0.933162685081209,-0.345541392161334,-1.23189453210864,-0.667764575840185,-0.545003686697635,0.887092031730444
"43","Imperial County, CA","Imperial County","CA",0.0208350695891324,12.25,85.18560028,32.36121097,-0.91552,9.428425789,42.3850174,0.338877947,21.1207681483321,48.7470683994151,90.1934166597688,12.00194363,16311,65.74498214,71.80185408,77.84356729,-0.119356984,76.5,FALSE,-0.906855629771444,-0.356500022093718,-1.28133064618151,-0.655904432802848,-0.53912442173275,0.901744579806998
"44","Jefferson County, TX","Jefferson County","TX",0.108703114630295,14,78.54684448,36.4604235,-0.18095,12.82252026,288.105835,0.433278336,24.1965297239282,48.868483294576,59.0503448412935,9.515921222,24738,68.4381017,75.48844662,61.24158312,0.003493215,93,TRUE,-0.686328238340016,-1.29411530032556,0.319593647390198,0.718973378308424,0.465092894811764,-1.54223265897976
"45","Jones County, TX","Jones County","TX",0,13.25,82.53955841,26.62915138,9.9610202,6.741727352,21.63792229,0.360687023,25.1356868993676,37.2504107951999,82.8561469899915,10.2739726,17279,65.99329776,74.6755692,66.68238472,0.817690353,94.1,TRUE,-1.9403031636947,0.6130506547737,-1.1352405148221,-3.30181000240373,6.47766862660993,-2.07219623946792
"46","Kern County, CA","Kern County","CA",3.74697632297041,15.25,86.65389252,32.33636312,0.98885,10.08278751,105.476181,0.365189631,21.4832893061779,48.7854948111646,82.3103036873946,12.22381342,21094,68.5741688,71.77438795,96.84210526,0.193208389,89.7,FALSE,-0.109089779269462,-0.183710931334161,-1.54225507002094,-0.48913505666128,0.27042272991839,1.80599959156719
"47","Kings County, CA","Kings County","CA",0.924179554884949,14,87.25359344,22.94683598,1.09688,8.991709709,108.9591293,0.36983151,20.6669282071401,44.8528834837191,80.8467372825945,12.35465116,19123,66.57353227,75.32298135,68.44482244,-0.114106742,90,FALSE,-0.702314087380824,-0.600521477858662,-1.89560370193569,-0.486630968433847,2.07325303795767,0.463749016649681
"48","Lampasas County, TX","Lampasas County","TX",0.381471389645777,16.25,83.80366516,23.63311881,2.74754,13.75661373,28.08480453,0.266653086,28.4067575135337,50.8773567295128,89.8170617883144,9.850746269,24382,69.76051107,70.94757012,69.86379115,0.427514741,95.9,TRUE,-0.592085496665695,1.10872222795812,-0.175311786324195,0.372332278414714,0.434886887518182,-0.81558344538392
"49","Liberty County, TX","Liberty County","TX",0.0526500526500527,8.25,78.9781723,29.45678599,4.41783,6.374327183,66.21543121,0.262942159,24.2566794001292,50.6070120949002,86.5403144447341,11.80931744,22065,67.17137608,70.33930489,80.71935299,0.168879138,92.4,TRUE,-1.02491267771642,0.180256618825447,0.719987857617758,-1.94281907912002,-0.175342607495695,0.39957229041691
"50","Los Angeles County, CA","Los Angeles County","CA",1.91144337447225,8.25,84.12757874,21.4882139,-1.06911,19.54712868,2457.865723,0.355367588,25.2595773707761,50.702378209536,70.7065777862513,12.83843775,29301,69.2968732,65.14646078,70.14634146,-0.514068317,94.7,FALSE,0.977424279311377,-1.05450802615937,0.136335554180609,-0.593695805659512,-0.952381484644164,0.335787496293569
"51","Lubbock County, TX","Lubbock County","TX",0.0671358459116585,13.25,84.04867554,40.75446968,2.29601,17.7389679,320.1734314,0.38086561,20.1929361913134,50.7323654324804,86.5395451574368,11.25401929,25139,69.12955214,71.76371045,69.03683542,-0.215300395,96.6,TRUE,-0.548702510268276,-1.3367131690629,0.831761523912099,0.0495328820116987,0.181337949944421,0.243923631416005
"52","Madera County, CA","Madera County","CA",0.862590799031477,15,85.70898438,22.01323399,0.07028,9.434344292,71.33599091,0.327340243,22.383316277562,51.7660668543861,85.9248571446732,12.7349909,19021,62.96144839,76.03311245,69.71720968,-0.075359835,90.8,FALSE,-0.607488951650568,-0.133853133144815,-1.43947639855132,1.20306845224168,-0.326017261993228,1.21622511111001
"53","Marin County, CA","Marin County","CA",9.00225056264066,12.75,93.62355042,17.4770291,0.78443,30.81128311,493.3926697,0.220312471,30.4173460162426,51.0802624156769,85.3163901617303,12.25305216,63608,83.47222222,49.49158249,53.33333334,0.185995266,96.8,FALSE,3.0758896033077,0.769560499572224,0.0653384157082544,-0.235879960184489,0.283549863531222,-2.61955029821455
"54","Mariposa County, CA","Mariposa County","CA",0,11.75,92.74964142,15.56771392,-0.2604,14.70674515,12.38663197,0.346378304,28.4659652386212,49.0553973144219,89.3100040690577,15.18987342,27832,72.22222222,59.89286807,66.66666667,0.24291967,93.1,FALSE,0.414642969470589,1.75418361291022,-1.04774819593571,-0.998732228403694,0.0176096825752315,-0.469576282337702
"55","McLennan County, TX","McLennan County","TX",0.138402557679266,13.25,83.49025726,32.15791284,0.86484,14.60423756,231.1394196,0.371034161,21.7708467284694,51.1887087283681,79.9904918888798,10.17448448,22878,67.14285715,68.42561759,68.30338652,-0.290467773,96,TRUE,-0.54517193059408,-1.10897854969299,0.338800568847314,0.199277743356581,-0.448568544867491,0.0628233440761092
"56","Mendocino County, CA","Mendocino County","CA",0.568540745420088,11.5,87.38196564,17.66170859,0.01371,14.61155796,24.98663902,0.397849462,25.4988530127148,50.4074974927665,86.059781668953,10.90835361,25278,65.38390186,67.10996081,71.36428714,-0.429048648,94.8,FALSE,-0.0788757836192632,0.158190240269066,-1.30654624122246,-0.664993468747532,-0.689633006923125,0.479291593965816
"57","Merced County, CA","Merced County","CA",1.35548513545693,13.25,86.98491669,26.7542707,-0.18843,8.639847755,135.2007599,0.404769387,21.1091904350331,49.5156295015846,82.1611207144915,11.28301887,19130,62.22222222,79.07523511,70,-0.035122201,89.5,FALSE,-0.705474240266693,-0.69530275456964,-1.72091891434787,0.597944729522415,0.182941258110601,0.609498397519195
"58","Midland County, TX","Midland County","TX",0.123386144987661,14.75,80.25559235,26.02822014,0.0011,17.78989029,162.6061554,0.30609559,20.4086364458921,49.2393910604415,87.8342155266015,11.0745614,36869,61.45833333,82.59871441,50,0.73571798,95.6,TRUE,-0.958863560681226,-0.0563227457094882,0.174020006301117,2.34454707014161,1.40108728012358,-2.03961057089857
"59","Monterey County, CA","Monterey County","CA",0.865061001262095,12.25,83.89500427,24.34762992,-0.14947,14.14266014,129.5262756,0.335736799,22.8037073130274,49.0557778745384,82.8351314676969,11.72037422,25947,71.03579608,62.8484778,80.08512034,0.141566078,92.4,FALSE,0.127295750456453,-0.00997722339340982,-0.765270334983347,-0.930327589719869,-0.328647275843258,0.324484260025919
"60","Montgomery County, TX","Montgomery County","TX",0.104712768023078,10.5,84.72721863,16.70322221,2.3904599,21.67519188,467.4439697,0.237264586,25.7637995953183,50.5147425628631,87.8585622770176,16.24950338,35912,75.55555556,64.44660895,80,-0.069220357,95.1,TRUE,0.737957190239849,0.809069226344607,1.81501269500756,-0.94290339801577,0.336443712333001,0.958410371559074
"61","Nacogdoches County, TX","Nacogdoches County","TX",0.203776660779785,11.75,78.93712616,25.6744468,4.5285098,15.05250835,69.0114212,0.320999675,20.8530151524446,51.889454634685,77.6164039016011,8.799342105,21343,67.69558203,70.76683237,73.55327665,-0.01511367,95.3,TRUE,-0.882857159185805,-0.764956428403311,0.614220204708699,-0.65415944192635,0.113279322187196,0.374128117494564
"62","Napa County, CA","Napa County","CA",4.70574470574471,13.5,90.85018921,16.79400063,-0.10918,21.29265213,186.0758209,0.264854407,26.748896503659,50.2446567545592,83.6326809153212,12.44364292,38057,70.94804701,65.17959945,72.86575899,0.442911877,95.7,FALSE,1.23114265539677,0.880870051991109,-1.0039081562234,0.306742468697111,0.241465296863458,-0.570155388532906
"63","Nevada County, CA","Nevada County","CA",2.17557251908397,8.25,88.82836914,16.1354117,-0.38037,21.36093712,102.9526596,0.268352833,27.9394516565586,50.8766477870783,93.279534860408,16.16600791,33385,70.20886611,65.00120546,80.59449609,0.008744886,95.3,FALSE,1.08221899341248,1.31805059298806,-0.177136651015654,-1.08213415950091,-0.834588372206271,0.888977389025873
"64","Newton County, TX","Newton County","TX",0,8.75,82.19541931,5.081157375,0.96237,5.301626682,15.34042263,0.481198003,27.6866495034939,48.7164398675984,76.7267377712394,12.87878788,19293,65.11235257,72.80413004,78.84305506,0.211425513,91.9,TRUE,-0.945816646577766,1.65103247889377,-0.290846170959105,-1.34123951153865,0.119149432708526,0.220271527097892
"65","Nueces County, TX","Nueces County","TX",0.0322485663409094,12.5,81.67563629,42.93981158,0.52807,12.90625954,415.2739868,0.413114571,23.5620794161648,50.5887483645879,90.880058736827,10.69689804,25826,78.125,74.16967292,72.07173299,0.075866923,94.3,TRUE,-0.508375308263231,-0.556150626506536,1.14693289632658,-0.403689074013529,-0.615969562779958,-0.506896412513782
"66","Orange County, CA","Orange County","CA",4.6519401053951,14.5,87.66471863,17.34675774,-0.47798,24.22011566,3903.595459,0.255361959,26.6311090622138,50.6619344697156,71.124813111599,14.12062274,35939,69.75589226,63.81407984,75.76923077,-0.084163314,96,FALSE,1.67275233501793,-0.276864076086339,-0.19371593556002,0.967133228761903,0.212083196118366,0.507975359931704
"67","Orange County, TX","Orange County","TX",0.0175093018165901,13.75,84.41690063,24.35357428,-1.39218,9.813933372,247.8780975,0.344679413,25.4004988248837,50.4124898076646,87.41186627656,9.77443609,26611,65.69900453,67.25875713,76.2113027,0.360161771,93.2,TRUE,-0.522183350677095,0.471110589209073,-0.0883411543951393,0.350896207340377,-0.881134400541739,-0.817126786557164
"68","Placer County, CA","Placer County","CA",8.17562249570693,14.75,92.29863739,17.77096508,0.78169,24.05094528,256.9259949,0.219679957,26.5988667659146,51.1740295082708,83.9225866055447,17.0440051,37914,72.22222222,77.32683982,85,0.524610755,95.6,FALSE,1.53165710868858,1.34140938428127,-0.592895824650106,1.19234563950597,0.911459987087251,1.29610267640428
"69","Potter County, TX","Potter County","TX",0.115066346765901,9,77.28946686,42.92122003,-0.98459,10.42955208,134.3641052,0.37977468,22.6904569262871,48.6087808201678,79.4208576416982,10.96597813,20984,66.30353125,69.0191978,72.52104241,-0.246983557,96.7,TRUE,-0.986857526768106,-1.15995913135337,0.437638782711981,-1.16196302211302,-0.970779884111926,-0.488977690063298
"70","Randall County, TX","Randall County","TX",0.124018189334436,12.5,87.38982391,36.81901138,-0.57188,20.87243271,136.9764709,0.273800359,22.8315409583699,50.9363676631836,91.4510612650948,11.84135977,31383,74.73828385,69.23292945,80.49260646,0.476867758,97,TRUE,0.102794394232047,0.338924543955164,0.895636389175618,-0.170351811087877,-0.690192911449974,-0.442388881169421
"71","Riverside County, CA","Riverside County","CA",3.72176552802032,13.75,85.29614258,26.38316878,0.96975,13.36531925,314.5664673,0.304237434,23.8346503161649,50.1319951136308,79.5875486633319,14.77116901,24443,63.63636364,63.29879286,64.54545455,-0.504580262,93.9,FALSE,0.316722401479,-0.94060583120907,-1.13790465955807,0.384416053024984,0.202255084168262,1.03583010183358
"72","Robertson County, TX","Robertson County","TX",0,11.75,80.8719101,17.73220748,-1.48184,12.0717926,19.33639717,0.363118812,24.9970715708094,50.8258170317442,76.1098746632306,9.223300971,22980,69.52770403,69.25416798,76.29646058,0.009066562,95,TRUE,-0.709641663723793,0.508662467360983,-0.00780428761636637,-0.388124590645065,-1.24541700856854,-0.345800453518999
"73","Rockwall County, TX","Rockwall County","TX",0.381546999653139,13.5,88.27649689,12.29377085,0.29272,25.24707222,654.883728,0.178249704,26.3479959967593,50.6114473621503,86.2726969451461,17.75280899,37231,71.77103805,73.79428216,77.74352218,0.505315862,96.5,TRUE,0.890299406108227,1.58034230179911,1.37085994775904,1.16755703301476,0.934289771258308,0.580349783941399
