"","% Solar Panel Installed","Median KW Potential","% w/ Health Insurance","Property Crime Rate","Rural/Urban Score","% w/ Bachelor's Degree","Population Density","% Children w/ Single Parent","% Population Age 45-64","% Female","% White","Income per Capita","Entrepeneurship Score","Belief in Science Score","Risk Taking Score","Religiosity Score"
"1",2.12919944902295,13.75,87.70957947,29.84718896,2,20.82625389,287.7068176,0.357435674,20.3086495467267,51.7995264697465,69.8616949706924,72.20939217,84.51446193,95.7,25758,-0.082648972
"2",3.79442882122108,12.25,91.64253998,35.9095518,1,24.63544083,2109.758789,0.269797722,25.2406318564448,50.7429716112148,49.2777304767643,62,80.05501443,58.80952381,70.37500001,84.29606297
"3",0.78405261441461,8.25,94.63143921,26.54738031,2,20.11997795,585.53479,0.343434867,24.8980380090735,51.6153528899596,75.7883642219793,72.32631588,77.16906194,73.70293938,64.78071531,85.87228753
"4",0.17847750415167,6.75,93.96724701,19.82702138,1,21.72266579,1683.621948,0.319527967,25.8318565513612,51.6107545362219,79.8629162572109,-0.206487485,33830,94.8,84.60820265,82.2130687
"5",0.365000125429596,7.75,94.01557159,24.11987929,1,22.35629654,1326.313721,0.263871783,26.4675416153057,50.5433037425289,73.5992707610396,88.18967452,82.85714286,69.51832934,89.21450151,71.24295449
"6",2.31576478864982,7.75,87.87903595,29.39762172,2,16.49099922,495.4517212,0.424939707,28.3339022262677,51.6095877422536,71.29480031858,69.2824409,70.83501257,78.81538625,78.13120764,87.08229925
"7",0.398563148929951,6.75,92.63132477,27.5338382,1,20.54388046,1366.599731,0.343019131,26.1139514364795,52.6529847589349,60.1883075286752,74.46031746,67.85714285,86.66666666,63.68712376,90.18126888
"8",0.336914799108265,13.25,83.91717529,40.23592783,3,14.26934528,228.0779419,0.369101504,27.6614865058241,50.4181334249163,82.2397756217624,83.5647059,95.1,25695,-0.088704904,12.10750399
"9",0.175614928373408,7,89.89794922,10.60450737,1,28.85887527,3949.675049,0.193197999,28.4928588438986,51.441211239624,72.8706868253876,65.94618055,78.53587963,75,59.20714498,99.32024169
"10",0.17351164656005,7.25,91.45090485,17.74190041,2,14.82148457,482.2249451,0.364886029,26.6620603850282,50.769533958268,86.9008272311974,68.6387584,76.9297373,76.69406527,69.49580029,69.62187253
"11",1.00639366585205,13.75,87.43779755,50.04184224,2,17.89925957,578.4082031,0.401115073,24.7702544907314,50.9903242573857,83.9162682349684,27402,94.2,85.06234947,83.59938331,86.51441253
"12",2.63266705661671,17.25,86.82807159,26.05085923,2,16.61122704,540.5481567,0.365662311,28.6406331507022,51.0942914765875,83.1623312545063,73.46049783,70.19607844,13.10954415,-0.296886953,28189
"13",0.420740473126049,7.25,96.55187225,20.67861439,1,16.57927132,996.2649536,0.346240309,28.0159655495146,51.6245972785673,88.3007765159222,71.875,75,75.18398268,82.32628399,72.27777778
"14",0.20984068894895,6,87.69891357,16.15460935,1,11.79429436,33587.55859,0.610769839,23.7130404799864,52.7891203470297,44.7240776558006,11.09529458,-0.544406652,18896,92.9,85.06180308
"15",0.47877772784836,17,82.00684357,30.47896042,1,19.41930389,1503.927368,0.385684524,27.3300395641491,51.3068049721986,63.0682545583779,52.69230769,65.67420327,72.99603174,68.74559651,86.04619177
"16",0.523584115919088,9.75,94.70178986,15.42641047,1,22.32712173,1036.214233,0.210791216,29.7813042163401,50.938927531157,88.1100482276728,0.619537725,39958,95.4,85.66478319,82.20109334
"17",0.895218157778757,9.25,86.90664673,25.95190301,2,22.04948044,372.4804688,0.322658823,26.3447055985849,52.0580724450689,89.4422089581954,77.70458549,81.54254782,67.72759344,65.9660728,61.52185805
"18",1.25628140703518,9,94.12582397,15.02318748,1,22.91748619,563.6978149,0.254825896,28.6406840477917,50.7797255635468,72.8610595285944,38137,95.6,85.4612015,83.1502463,87.26456653
"19",7.24490695828556,11.5,89.29158783,29.61881024,3,16.67783165,135.4004669,0.327767334,22.5438668528099,50.5109815407918,85.6541932422691,63.33333333,71.77419355,68.74999999,70.28470381,85.24164783
"20",1.52693773380415,7,90.17758942,25.53426023,1,19.13613319,2316.82373,0.407653504,26.4575859229847,51.7385990510809,69.0142179907635,62.43979266,82.96895315,94.5,31736,-0.34364873
"21",1.51289312863318,8.25,92.45167542,37.02813679,3,18.8675518,382.9474182,0.270670964,28.2195590999468,51.2511000771412,91.7513228088093,68.65551192,67.35434881,69.15451888,76.76288373,67.90326126
"22",0.284711929109929,9.75,86.70179749,29.24123225,2,25.47929764,399.1377258,0.392628017,24.7978882174786,51.6647788316165,69.6411817037185,33700,96.1,86.62763404,83.89073908,88.51745746
"23",6.74481862166911,18.5,86.00086975,17.41204318,3,13.28964424,239.5411377,0.356223176,27.3680588640093,51.2805039436769,90.5928749139802,27860,0.063720821,13.74813711,67.70595053,80.65569514
"24",0.162256815589506,9.75,83.89794159,36.63815224,2,20.28264236,642.2004395,0.452911771,23.5511177141278,51.9510762533255,53.0432228863628,72.55774131,85.45454546,70.42611173,78.09916801,61.41666667
"25",0.670762928827445,8,96.00592804,20.35769596,3,29.14402962,295.7354126,0.276440701,24.8507089037332,51.0917483849695,90.3006582241381,77.84709504,87.4840511,83.2092191,85.29042344,97.5
"26",2.7633746111145,11.5,83.05505371,27.89506311,1,14.80019855,253.9115295,0.378899698,25.0367602455536,50.1379749990625,69.5282380008073,69.3548387,53.33333333,65.08924866,83.13552007,76.91043084
"27",0.971351043120908,15.75,88.11705017,20.64303066,1,16.26252365,322.1981201,0.284189967,27.3644026052214,50.6681809059895,80.3053107839381,76.45738403,68.79190436,70.06037767,85.13856966,68.93340563
